id;anio;provincia;provincia_id;departamento;departamento_id;vacas;vaquillonas;novillos;novillitos;terneros;terneras;toros;bueyes;toritos;total_cabezas
20176126;2017;Buenos Aires;6;Campana;6126;58;21;;4;4;7;2;;;96
20186126;2018;Buenos Aires;6;Campana;6126;52;5;;;11;15;1;;;84
20196126;2019;Buenos Aires;6;Campana;6126;59;8;;;10;9;1;;;87
20086134;2008;Buenos Aires;6;Cañuelas;6134;6342;1928;233;226;721;1484;229;;;11163
20096134;2009;Buenos Aires;6;Cañuelas;6134;6244;1907;74;374;626;1525;186;;;10936
20106134;2010;Buenos Aires;6;Cañuelas;6134;5505;1725;139;275;1443;560;166;;;9813
20116134;2011;Buenos Aires;6;Cañuelas;6134;51;1657;45;161;668;1329;129;;;9089
20126134;2012;Buenos Aires;6;Cañuelas;6134;5213;1777;20;288;793;1438;99;;;9628
20136134;2013;Buenos Aires;6;Cañuelas;6134;5168;1659;31;240;681;1396;114;;;9289
20146134;2014;Buenos Aires;6;Cañuelas;6134;3718;135;41;136;269;846;106;;;6466
20156134;2015;Buenos Aires;6;Cañuelas;6134;3512;1061;11;138;155;958;95;;20;595
20166134;2016;Buenos Aires;6;Cañuelas;6134;3577;1338;2;99;276;694;71;;83;614
20176134;2017;Buenos Aires;6;Cañuelas;6134;3666;896;;47;361;893;54;;65;5982
20186134;2018;Buenos Aires;6;Cañuelas;6134;3523;1131;6;20;306;838;47;12;;5883
20196134;2019;Buenos Aires;6;Cañuelas;6134;3387;863;17;130;142;891;13;;18;5461
20086140;2008;Buenos Aires;6;Capitan Sarmiento;6140;1698;945;;17;206;470;77;;;3413
20096140;2009;Buenos Aires;6;Capitan Sarmiento;6140;1726;817;1;;38;626;54;;;3262
20106140;2010;Buenos Aires;6;Capitan Sarmiento;6140;1461;515;;29;135;645;47;;;2832
20116140;2011;Buenos Aires;6;Capitan Sarmiento;6140;1026;1011;;25;198;295;27;;;2582
20126140;2012;Buenos Aires;6;Capitan Sarmiento;6140;1211;656;;13;223;574;39;;;2716
20136140;2013;Buenos Aires;6;Capitan Sarmiento;6140;1064;764;1;7;215;555;50;;;2656
20146140;2014;Buenos Aires;6;Capitan Sarmiento;6140;1087;1158;;36;66;220;37;;59;2663
20156140;2015;Buenos Aires;6;Capitan Sarmiento;6140;1035;883;12;2;33;369;17;;50;2401
20166140;2016;Buenos Aires;6;Capitan Sarmiento;6140;895;563;;13;93;563;40;;46;2213
20176140;2017;Buenos Aires;6;Capitan Sarmiento;6140;528;513;12;2;142;521;7;;33;1758
20186140;2018;Buenos Aires;6;Capitan Sarmiento;6140;462;561;16;47;57;330;10;51;;1534
20196140;2019;Buenos Aires;6;Capitan Sarmiento;6140;544;379;41;;75;356;26;;50;1471
20086147;2008;Buenos Aires;6;Carlos Casares;6147;13434;10653;38;173;668;4818;39;;;29823
20096147;2009;Buenos Aires;6;Carlos Casares;6147;13746;8865;325;72;197;385;40;;;27095
20106147;2010;Buenos Aires;6;Carlos Casares;6147;13207;7114;50;103;752;3617;43;;;24886
20116147;2011;Buenos Aires;6;Carlos Casares;6147;12951;7759;75;73;630;3275;223;2;;24988
20126147;2012;Buenos Aires;6;Carlos Casares;6147;15953;6739;19;634;1036;4441;74;;;28896
20136147;2013;Buenos Aires;6;Carlos Casares;6147;12584;7638;74;565;1076;3713;77;;;25727
20146147;2014;Buenos Aires;6;Carlos Casares;6147;13232;6538;90;859;102;4742;62;;;26543
20156147;2015;Buenos Aires;6;Carlos Casares;6147;14794;8538;67;425;1319;4237;66;;;29446
20166147;2016;Buenos Aires;6;Carlos Casares;6147;16223;8073;416;1433;14;454;85;;;3217
20176147;2017;Buenos Aires;6;Carlos Casares;6147;17063;7817;578;932;2439;5089;110;;22;3405
20186147;2018;Buenos Aires;6;Carlos Casares;6147;18462;10131;258;1122;1997;6773;82;1;;38826
20196147;2019;Buenos Aires;6;Carlos Casares;6147;16345;9397;154;371;1678;5767;108;;8;33828
20086154;2008;Buenos Aires;6;Carlos Tejedor;6154;11098;423;758;410;1516;2881;157;;;2105
20096154;2009;Buenos Aires;6;Carlos Tejedor;6154;10602;4398;326;654;108;286;129;;;20049
20106154;2010;Buenos Aires;6;Carlos Tejedor;6154;8536;4247;184;243;1043;2398;105;;;16756
20116154;2011;Buenos Aires;6;Carlos Tejedor;6154;9114;4611;66;552;1073;2067;108;;;17591
20126154;2012;Buenos Aires;6;Carlos Tejedor;6154;8654;3479;144;385;1179;2489;87;;;16417
20136154;2013;Buenos Aires;6;Carlos Tejedor;6154;8435;3952;108;931;1314;2359;100;;;17199
20146154;2014;Buenos Aires;6;Carlos Tejedor;6154;8024;4262;26;692;1418;2503;85;;5;17015
20156154;2015;Buenos Aires;6;Carlos Tejedor;6154;8319;4235;180;470;1291;2452;85;;;17032
20166154;2016;Buenos Aires;6;Carlos Tejedor;6154;8035;3777;145;548;1263;2657;83;;2;1651
20176154;2017;Buenos Aires;6;Carlos Tejedor;6154;7735;3118;82;478;1492;2849;90;;10;15854
20186154;2018;Buenos Aires;6;Carlos Tejedor;6154;7486;3347;73;485;1391;2632;88;;;15502
20196154;2019;Buenos Aires;6;Carlos Tejedor;6154;6694;3185;2;291;1314;2082;73;;2;13643
20086161;2008;Buenos Aires;6;Carmen de Areco;6161;5144;234;140;183;617;1737;57;;;10218
20096161;2009;Buenos Aires;6;Carmen de Areco;6161;5154;2383;102;205;324;1267;57;;;9492
20106161;2010;Buenos Aires;6;Carmen de Areco;6161;5243;2121;128;97;309;129;56;;;9244
20116161;2011;Buenos Aires;6;Carmen de Areco;6161;4546;1778;26;139;235;13;46;;;807
20126161;2012;Buenos Aires;6;Carmen de Areco;6161;8306;3389;6;351;609;2698;94;;;15453
20136161;2013;Buenos Aires;6;Carmen de Areco;6161;7324;3359;28;151;541;2291;70;;25;13789
20146161;2014;Buenos Aires;6;Carmen de Areco;6161;6961;3553;4;36;1037;2413;83;;;14087
20156161;2015;Buenos Aires;6;Carmen de Areco;6161;6497;3104;;33;442;2639;107;;;12822
20166161;2016;Buenos Aires;6;Carmen de Areco;6161;6142;3381;;27;333;1813;93;;;11789
20176161;2017;Buenos Aires;6;Carmen de Areco;6161;6209;2992;;25;353;2005;113;;6;11703
20186161;2018;Buenos Aires;6;Carmen de Areco;6161;6127;3335;;53;403;1854;135;;;11907
20196161;2019;Buenos Aires;6;Carmen de Areco;6161;5764;2991;9;14;309;1722;105;;;10914
20086168;2008;Buenos Aires;6;Castelli;6168;5351;846;170;58;522;1125;30;;;8102
20096168;2009;Buenos Aires;6;Castelli;6168;5421;1193;123;304;454;1499;22;;;9016
20106168;2010;Buenos Aires;6;Castelli;6168;4892;1488;192;;718;103;19;;;8339
20116168;2011;Buenos Aires;6;Castelli;6168;6112;2424;118;149;557;1704;24;;;11088
20126168;2012;Buenos Aires;6;Castelli;6168;6938;2077;17;289;520;1626;16;;;11483
20136168;2013;Buenos Aires;6;Castelli;6168;531;1581;;50;596;1869;24;;;943
20146168;2014;Buenos Aires;6;Castelli;6168;5926;1978;21;395;599;1996;22;;1;10938
20156168;2015;Buenos Aires;6;Castelli;6168;5952;166;97;288;370;114;30;;;9537
20166168;2016;Buenos Aires;6;Castelli;6168;5834;114;164;124;514;141;14;;12;9212
20176168;2017;Buenos Aires;6;Castelli;6168;5642;1449;76;167;529;1267;24;;3;9157
20186168;2018;Buenos Aires;6;Castelli;6168;5104;1774;157;166;547;1427;27;4;;9206
20196168;2019;Buenos Aires;6;Castelli;6168;491;2238;57;195;355;901;30;;1;8687
20086210;2008;Buenos Aires;6;Chacabuco;6210;5827;2229;44;77;252;1043;57;;;9529
20096210;2009;Buenos Aires;6;Chacabuco;6210;6436;212;25;31;381;1248;56;;;10297
20106210;2010;Buenos Aires;6;Chacabuco;6210;6119;1869;71;102;235;1258;48;;;9702
20116210;2011;Buenos Aires;6;Chacabuco;6210;546;168;24;43;313;1359;49;;;8928
20126210;2012;Buenos Aires;6;Chacabuco;6210;5048;2145;;62;176;1426;44;;;8901
20136210;2013;Buenos Aires;6;Chacabuco;6210;4943;1954;11;73;313;1307;44;;;8645
20146210;2014;Buenos Aires;6;Chacabuco;6210;4119;1671;;26;442;1288;46;;2;7594
20156210;2015;Buenos Aires;6;Chacabuco;6210;398;1742;;39;426;1075;40;;5;7307
20166210;2016;Buenos Aires;6;Chacabuco;6210;372;1285;10;68;505;1178;29;;3;6798
20176210;2017;Buenos Aires;6;Chacabuco;6210;3783;1266;11;60;346;1322;33;;3;6824
20186210;2018;Buenos Aires;6;Chacabuco;6210;3742;16;28;66;173;936;41;2;;6588
20196210;2019;Buenos Aires;6;Chacabuco;6210;2707;103;25;89;343;888;28;;1;5111
20086217;2008;Buenos Aires;6;Chascomus;6217;4603;151;30;311;703;1309;65;;;8531
20096217;2009;Buenos Aires;6;Chascomus;6217;4235;158;90;92;596;1167;49;;;7809
20106217;2010;Buenos Aires;6;Chascomus;6217;4852;2239;340;193;712;1327;97;;;976
20116217;2011;Buenos Aires;6;Chascomus;6217;4455;2177;226;152;580;1228;112;;;893
20126217;2012;Buenos Aires;6;Chascomus;6217;4871;2422;194;82;769;1411;118;;;9867
20136217;2013;Buenos Aires;6;Chascomus;6217;4005;2109;141;230;854;1329;107;;;8775
20146217;2014;Buenos Aires;6;Chascomus;6217;4006;1815;155;123;712;1228;68;;83;819
20156217;2015;Buenos Aires;6;Chascomus;6217;4214;1782;32;166;522;1143;53;;116;8028
20166217;2016;Buenos Aires;6;Chascomus;6217;3746;1718;183;172;446;1085;28;;28;7406
20176217;2017;Buenos Aires;6;Chascomus;6217;2917;1748;86;143;493;867;30;;39;6323
20186217;2018;Buenos Aires;6;Chascomus;6217;3094;1381;72;236;536;878;53;55;;6305
20196217;2019;Buenos Aires;6;Chascomus;6217;2566;1138;182;248;412;847;38;;40;5471
20086224;2008;Buenos Aires;6;Chivilcoy;6224;6684;2539;217;222;694;1784;85;;;12225
20096224;2009;Buenos Aires;6;Chivilcoy;6224;5794;2265;64;227;590;1536;71;;;10547
20106224;2010;Buenos Aires;6;Chivilcoy;6224;5489;247;28;157;1274;629;73;;;1012
20116224;2011;Buenos Aires;6;Chivilcoy;6224;508;2341;33;97;501;955;57;;;9064
20126224;2012;Buenos Aires;6;Chivilcoy;6224;5149;1822;17;130;481;1338;75;;;9012
20136224;2013;Buenos Aires;6;Chivilcoy;6224;4428;1856;52;289;387;933;70;2;;8017
20146224;2014;Buenos Aires;6;Chivilcoy;6224;4029;1641;102;117;552;860;66;;;7367
20156224;2015;Buenos Aires;6;Chivilcoy;6224;4092;1432;98;73;489;866;76;;;7126
20166224;2016;Buenos Aires;6;Chivilcoy;6224;4178;1054;18;148;546;919;79;;1;6943
